agent,gender,age,status,origin
Oetaeans,male,any adult age,free,Oetaean
Phthians,male,any adult age,free,Phthian
Malians,male,any adult age,free,Malian
Phocians,male,any adult age,free,Phocian
Athenodorus,male,mature,power-holder,Athenian
Cyclops?,male,mature,free,n/a
Maid,female,mature,chattel-slave,Athenian
Cratylus,male,mature,free,Athenian
"Hannibal, son of Gisgo",male,mature,power-holder,Carthaginian
"Himilco, son of Hanno",male,mature,power-holder,Carthaginian
Myrtia,female,old,free,Athenian
Androcles,male,mature,free,Athenian
Meton,male,mature,free,n/a
Spartan magistrates (ta telh),male,mature,power-holder,Spartan
Ajax,male,mature,power-holder,Athenian
Phrastor,male,mature/old,free,Athenian
Others as ordered by the Chalcidians,male,mature/old,free,Macedonian
Themistocles,male,old,free,Athenian
Persians,male,any adult age,free,Persian
Cleander,male,mature,power-holder,Spartan
Cithaeron,n/a,n/a,n/a,n/a
The parties in dispute,male,mature,free,Athenian
Chrysantas,male,mature,free,Persian
Herald,male,mature,free,Spartan
Erinyes,female,old,n/a,n/a
Athenian people,n/a,n/a,n/a,Athenian
Prosecutor/Defendant,male,any adult age,free,Athenian
Ariston's wife/Demaratus' mother,female,mature,power-holder,Spartan
The twelve arbitrators,male,mature/old,free,Mytilenean
The winner of the case,male,any adult age,free,Athenian
Generals (except Alcibiades),male,mature/old,power-holder,Athenian
Dercetes,male,mature,free,Athenian
Aeschines' brother,male,mature,free,Athenian
Seventeen citizens from the polis,male,mature,free,unknown
Oath-commissioner,male,mature/old,power-holder,Athenian
Thrasymachus,male,mature,free,Athenian
The poet,male,adolescent,free,Greek
Colonists in Naupactus,male,adolescent/mature,free,Locrian Naupactian
Representatives of the Locrians of Oeniadae,male,mature/old,power-holder,Locrian
Ctesippus,male,adolescent,free,Athenian
Dionysodorus,male,mature,free,Chian
The person who received the slave as a pledge,male,mature,free,Gortynian
Genos members,male,any adult age,free,Athenian
Athenian herald,male,mature,power-holder,Athenian
President/Umpire,male,mature/old,free,n/a
Calchas,male,old,free,Greek
Prosecutor(s),male,any adult age,free,Athenian
Representatives of various Greek poleis,male,any adult age,free,various
Inarus,male,mature,power-holder,Libyan
Andromache,female,mature,chattel-slave,n/a
Righteous/Good man,male,any adult age,free,n/a
Euthyphro,male,mature,free,Athenian
Wife,female,mature,free,Athenian
Those involved in the dispute,male,mature/old,free,Athenian
Thucritus,male,mature,free,Athenian
Brasidas,male,mature,power-holder,Spartan
Men,male,any adult age,free,Spartan
Hippothales,male,adolescent,free,Athenian
Pisatans,male,mature/old,free,Pisatan
Eubulus,male,mature,free,Athenian
Representatives of the Persian King,male,mature,power-holder,Persian
Sicon,male,unknown,unknown,unknown
Agelaus the archon,male,mature,power-holder,Thessalian
Hieromnemones,male,mature/old,free,Thessalian
Other officials who hold office,male,mature/old,power-holder,Thessalian
Third Old Woman,female,old,free,Athenian
Young men coming of age,male,adolescent,free,Teian
Chrysothemis,female,adolescent,free,Argive
Electra,female,mature,free,Argive
Callimachus,male,mature,free,Athenian
Inspector,male,mature,power-holder,Athenian
[---]cles of Erchia,male,mature,power-holder,Athenian
Demochares of Paeania,male,mature,power-holder,Athenian
Other unknown representatives of Athens,male,mature/old,power-holder,Athenian
Envoys from Amyntas,male,mature/old,power-holder,Macedonian
Relatives,male,any adult age,free,Gortynian
Oikistai on Colophon,male,mature,free,Colophonian
Second Creditor,male,adolescent,free,Athenian
Gadatas,male,mature,power-holder,unknown
Charon,male,old,n/a,n/a
Poseidon,male,mature,power-holder,n/a
73 deme members,male,any adult age,free,Athenian
Euboulides the demarch,male,mature,power-holder,Athenian
Boy,male,child,free,Athenian
Korianno?,female,mature,free,n/a
Envoys of the allies of Athens,male,mature/old,power-holder,various
The so-called 'Five',male,mature/old,power-holder,Athenian
Theoclymenus,male,mature,free,Ithacan
Penelope,female,mature,power-holder,Ithacan
The serf who captured the defendant,male,any adult age,semi-servile,n/a
The serf's master,male,any adult age,free,Gortynian
One other witness,male,any adult age,free,Gortynian
Lover,male,mature,free,n/a
Beloved,male,adolescent,free,n/a
Phratriarch?,male,mature/old,power-holder,Athenian
Catanian recruits,male,any adult age,free,Catanaean
Euryptolemus,male,mature/old,free,Athenian
Accused tagos,male,mature,power-holder,Delphian
Otys,male,mature,power-holder,Paphlagonian
"Diopeithes, son of Phasyrcides, of Sunium",male,any adult age,free,Athenian
"Philoneos, son of Ameinonicus, of Sunium",male,any adult age,free,Athenian
"Chalcideus, son of Andromenes, of Sunium",male,any adult age,free,Athenian
"Chariades, son of Charicles, of Sunium",male,any adult age,free,Athenian
"Theophanes, son of Zophanes, of Sunium",male,any adult age,free,Athenian
"Hegias, son of Hegesias, of Sunium",male,any adult age,free,Athenian
"Ameinias, son of Philinos, of Sunium",male,any adult age,free,Athenian
Sycophant,male,any adult age,free,unknown
Aristeides,male,n/a,n/a,n/a
All women present,female,mature,free,Athenian
Iphigenia,female,mature,power-holder,Argive
Pylades,male,adolescent,free,Phocian
Wife of Ischomachus,female,mature,free,Athenian
All Athenians,male,any adult age,free,Athenian
Tagos,male,mature/old,power-holder,Delphian
Outgoing tagoi,male,mature/old,power-holder,Delphian
"Thrasycles, son of Thrason, of Boutadae",male,any adult age,free,Athenian
"Stratophon, son of Straton, of Agryle",male,any adult age,free,Athenian
"Melittius, son of Execestides, of Boutadae",male,any adult age,free,Athenian
"Aristarchus, son of Democles, of Boutadae",male,any adult age,free,Athenian
"Arceon, son of Eumelides, of Acharnae",male,any adult age,free,Athenian
"Chaerestratus, son of Pancleides, of Epicephisia",male,any adult age,free,Athenian
"Demon, son of Demaretus, of Agryle",male,any adult age,free,Athenian
Stasikypros,male,any adult age,power-holder,Idalean
Officials of the city,male,mature/old,power-holder,Idalean
Onasilos,male,mature/old,free,unknown
Onasilos' brothers,male,any adult age,free,unknown
Those (men) who have attained puberty,male,any adult age,free,Chalcidian
Oath-commissioners?,male,mature/old,power-holder,Athenian
Acoris,male,adolescent/mature,power-holder,Egyptian
Servant,male,mature,chattel-slave,n/a
Pancleon,male,mature,chattel-slave,n/a
Synegoroi,male,mature/old,free,Athenian
Phratriarch,male,mature/old,power-holder,Athenian
Priest of the phratry,male,mature/old,free,Athenian
Agamemnon,male,mature,power-holder,Mycenaean
Proteas,male,mature,power-holder,Athenian
Carcinus,male,mature,power-holder,Athenian
The apetairos who captured the defendant,male,any adult age,free,n/a
Two others,male,any adult age,free,unknown
Suitors,male,adolescent/mature,free,various Greek
Thucritides,male,old,free,Athenian
Charisiades,male,old,free,Athenian
Niciades,male,old,free,Athenian
Heralds of King Artaxerxes II,male,mature,power-holder,Persian
Arms-Dealer,male,mature,free,Athenian
Phliasians,male,any adult age,free,Phliasian
"Amyntas, son of Arrhidaeus",male,mature,power-holder,Macedonian
"Alexander, son of Amyntas",male,adolescent,power-holder,Macedonian
Cnemus,male,mature,power-holder,Spartan
Odysseus' men,male,mature,free,Ithacan
Gorgias,male,old,free,Leontine
Antiphanes,male,mature,free,Athenian
Prometheus,male,mature,free,n/a
Second Old Woman,female,old,free,Athenian
Pluto,male,mature,power-holder,n/a
Socrates' accuser,male,mature,free,Athenian
The pledger of land,male,any adult age,free,Gortynian
Acroreans,male,mature/old,free,Acrorean
The person lodging the objection,male,mature/old,free,Athenian
Pausanias,male,mature,power-holder,Spartan
Greeks,male,any adult age,free,Greek
Artaxerxes II,male,mature,power-holder,Persian
The speaker and his party,male,mature/old,free,Athenian
Menecles' brother and his party,male,mature/old,free,Athenian
Cephalus of Collytus,male,mature,power-holder,Athenian
[-----] of Alopece,male,mature/old,power-holder,Athenian
Aesimus,male,mature,power-holder,Athenian
[-----] of Phrearrhi,male,mature/old,power-holder,Athenian
Democlides,male,mature,power-holder,Athenian
Sappho,female,mature,free,Lesbian
Archer,male,adolescent/mature,chattel-slave,Scythian
Vile man,male,any adult age,free,n/a
Alyattes,male,mature,power-holder,Lydian
Paches,male,mature,power-holder,Athenian
Artarios,male,adolescent,power-holder,Persian
Amytis,female,mature,power-holder,Persian
Artoxares,male,adolescent,power-holder,Persian
Petesas,male,mature,power-holder,Persian
Sisters of sacrificed daughter of Erectheus,female,adolescent,free,Athenian
Sacrificed daughter of Erectheus,female,adolescent,free,Athenian
Strategos #1,male,mature/old,power-holder,Eretrian
Alcias of Chytroi (strategos #2),male,mature/old,power-holder,Eretrian
Hipposthenes of Minthous (strategos 3#),male,mature/old,power-holder,Eretrian
Xenotimus (strategos #4),male,mature/old,power-holder,Eretrian
Clearchus (strategos #5),male,mature/old,power-holder,Eretrian
Phileas of Zarex (strategos #6),male,mature/old,power-holder,Eretrian
A[---] the hipparch,male,mature,power-holder,Eretrian
Eparagon of Amarynthus (taxiarch #1),male,mature,power-holder,Eretrian
Demarchus of Hermae (taxiarch #2),male,mature,power-holder,Eretrian
Epasippus (taxiarch #3),male,mature,power-holder,Eretrian
Democrates (taxiarch #4),male,mature,power-holder,Eretrian
S[---] of Styra (taxiarch #5),male,mature,power-holder,Eretrian
Five Athenians,male,mature/old,free,Athenian
Maendrius,male,mature,power-holder,Samian
Otanes,male,mature,power-holder,Persian
Leader of second Semichorus,n/a,old,free,Athenian
Leader of first Semichorus,n/a,old,free,Athenian
"the ""oligarchs""",male,any adult age,free,Corcyraean
"the ""demos""",male,any adult age,free,Corcyraean
Amphictyones,male,mature/old,free,various
Judge,male,mature/old,free,n/a
Theorus,male,mature,free,Athenian
Second Athenian,male,mature,free,Athenian
Magistrates (ta tele),male,mature/old,power-holder,Spartan
Syracusan boy,male,adolescent,free,Syracusan
Market place,female,n/a,unknown,n/a
Those possessing flocks,male,any adult age,free,Iot
Hieopoioi,male,mature/old,free,Iot
Ninus,male,mature,power-holder,Assyrian
Diotimus,male,mature/old,power-holder,Athenian
Incoming archons,male,adolescent/mature,power-holder,Athenian
Mandane,female,mature,power-holder,Median
Rhea,female,mature,power-holder,n/a
Athenian land and people,n/a,n/a,n/a,n/a
Citizen of the ideal state,male,any adult age,free,n/a
Cleisthenes,male,mature,free,Athenian
Haemon,male,adolescent,free,Theban
Aglaitadas,male,mature,free,Persian
Epaminondas,male,mature,power-holder,Theban
Choral judges,male,mature/old,free,Athenian
The Venerable Priestesses,female,old,free,Athenian
Wife of the archon basileus,female,mature/old,free,Athenian
Women at Thesmophoria,female,mature/old,free,Athenian
A man,male,mature,free,unknown
Mistress?,female,mature,free,unknown
Timarchus,male,mature,free,Athenian
Healer,male,mature,free,Thracian
Dionysius,male,any adult age,power-holder,Syracusan
[----] of the Syracusans,male,mature/old,power-holder,Syracusan
[---]archs,male,mature/old,power-holder,Syracusan
Aesop,male,mature,chattel-slave,n/a
Guard,male,mature,free,Theban
Persian satrap,male,mature/old,power-holder,Persian
Advocates (synegoroi),male,any adult age,free,Eresian
Alciphron,male,mature/old,free,Argive
Epidaurians,male,any adult age,free,Epidaurian
Maritime allies,male,any adult age,free,various Greek
Clinias' relatives,male,any adult age,free,Athenian
Euagoras,male,mature,power-holder,Salaminian
Philoetius,male,mature,chattel-slave,n/a
Therimenes,male,mature/old,power-holder,Spartan
Citizens of the poleis on Ceos,male,mature/old,free,Cean
Registrars of naval expedition,male,mature,free,Corinthian
Respondent,male,any adult age,free,Athenian
Actress as Ariadne,female,adolescent,n/a,n/a
Advocate (synegoros),male,mature/old,free,Athenian
The father of the speaker,male,mature,free,Athenian
Other phratry members,male,any adult age,free,Athenian
The Boule,male,mature/old,free,Delphian
Gyes,male,mature,power-holder,Paphlagonian
Themison,male,mature,free,Theran
Etearchus,male,mature,power-holder,Oaxian
Captive Carian women,female,any adult age,free,n/a
The thirty suggrapheis,male,mature/old,free,Athenian
Trierarchs,male,mature/old,power-holder,Athenian
Hoplites,male,adolescent/mature,free,Athenian
Any other Athenians present,male,any adult age,free,Athenian
Those making counter-claims to the estate,male,mature/old,free,Athenian
Three envoys,male,mature/old,power-holder,Cean
Aristophon of Azenia,male,mature,free,Athenian
Philocles,male,mature,power-holder,Athenian
Representatives of the other allies,male,mature/old,power-holder,various
Phaedra,female,mature,power-holder,Athenian
Athenian and various poleis,male,mature/old,power-holder,Athenian
Spartan and various poleis,male,any adult age,power-holder,Spartan
Aetolians,male,any adult age,free,Aetolian
Epeians,male,any adult age,free,Epeian
Messengers (angeloi) from Hermias,male,mature,free,Atarnean
Cydon,male,mature/old,power-holder,Byzantine
Menestratus,male,mature/old,power-holder,Byzantine
Hegemon,male,mature/old,power-holder,Byzantine
Hestiaeus,male,mature/old,power-holder,Byzantine
Philinus,male,mature/old,power-holder,Byzantine
Gnathius,male,mature,free,Athenian?
A boy,male,adolescent,free,Athenian?
Boys,male,child,free,Median
Five men chosen from the pilgrims,male,mature,free,Andrian
The boule of those sailing from Andros to Delphi,male,mature/old,free,Andrian
Mitrobates,male,mature/old,power-holder,Persian
Arnapes,male,mature/old,power-holder,Persian
Leotychides,male,mature,free,Spartan
Speaking dog,male,n/a,n/a,n/a
Speaking sheep,female,n/a,n/a,n/a
The other Athenians,male,mature/old,power-holder,Athenian
Pheidon,male,mature,power-holder,Thesprotian
The citizen who captured the defendant,male,any adult age,free,Gortynian
Four others,male,any adult age,free,Gortynian
Menexenus (III),male,mature,free,Athenian
The cousins of Menexenus,male,mature,free,Athenian
Dicaeogenes,male,mature,free,Athenian
Timocreon,male,mature,free,Rhodian
Representatives of Philip's allies,male,mature/old,power-holder,various
Critias,male,adolescent/mature,free,Athenian
Representative of Meidias,male,any adult age,free,Athenian
Straton of Phalerum,male,mature/old,free,Athenian
Atossa,female,mature,power-holder,Persian
Democedes,male,mature,chattel-slave,Formerly of Croton
Karpologoi,male,old,power-holder,Thasian
Alcetas,male,mature/old,power-holder,Epirot
Ariobarzanes,male,mature,power-holder,Persian
The Great King's representatives,male,mature/old,power-holder,Persian
Trojan,male,unknown,unknown,Trojan
Third woman,female,mature,free,Athenian
Pasion,male,old,free,Athenian
Lysitheides,male,mature,free,Athenian
Diocles,male,mature/old,free,Athenian
Ceans reinstated by the Athenians,male,any adult age,free,Cean
Troops,male,any adult age,free,Persian
Agelaus,male,mature,free,Achaean
Labes the dog,male,n/a,n/a,n/a
The Greeks who fought at Plataea,male,any adult age,free,various
Labynetus,male,mature,power-holder,Babylonian
Polystratus,male,old,power-holder,Athenian
Polycrates,male,mature/old,power-holder,Samian
Temple-warden,male,mature,free,Parian
Satyrs,male,adolescent,free,n/a
Herippidas,male,mature/old,power-holder,Spartan
Megillus,male,mature/old,power-holder,Spartan
Demodocus,male,old,free,Athenian
Reckoner (logistes),male,mature/old,free,Athenian
Actor playing Dionysus,male,adolescent,free,Athenian
Glaucus,male,mature,free,Athenian
Eupolemus,male,mature,free,Athenian
Arcephron of Lamptrae (bouleutes 1),male,mature/old,free,Athenian
[---] of Thria (bouleutes 2),male,mature/old,free,Athenian
[---] of Hagnous (bouleutes 3),male,mature/old,free,Athenian
Bouleutes #4,male,mature/old,free,Athenian
Bouleutes #5,male,mature/old,free,Athenian
Idiotes #1,male,mature/old,free,Athenian
Hippocrates of Cerameis (idiotes 2),male,mature/old,free,Athenian
Idiotes #3,male,mature/old,free,Athenian
Chaerephon of Cedoe (idiotes 4),male,mature/old,free,Athenian
Emmenides of Coele (idiotes 5),male,mature/old,free,Athenian
[---] of Sunium (idiotes 6),male,mature/old,free,Athenian
Aristides of Oe (idiotes 7),male,mature/old,free,Athenian
Idiotes #8,male,mature/old,free,Athenian
Glaucon of Perithoedae (idiotes 9),male,mature/old,free,Athenian
Phaedrus (idiotes 10),male,mature/old,free,Athenian
Representatives of the Chalicidians from Thrace,male,mature/old,power-holder,Chalcidian
Litigants,male,any adult age,free,Athenian
Witness,male,any adult age,free,Athenian
Leontines,male,mature/old,free,Leontine
Archidamus III,male,mature,power-holder,Spartan
Parrhasius,male,old,free,Athenian
New members of the Piraeus party,male,any adult age,free,Athenian
Other members of the Piraeus party,male,any adult age,free,Athenian
"Amyntas, son of Arrhidaeus?",male,mature,power-holder,Macedonian
Xanthians,male,mature,free,Xanthian
Perioikoi,male,mature,free,n/a
Mausolus,male,mature,power-holder,n/a
Hipponicus,male,unknown,unknown,unknown
Representatives of both parties,male,mature/old,power-holder,Elean
Messenian rebels,male,any adult age,semi-servile,n/a
Base people,male,any adult age,n/a,n/a
Citizens judging,male,mature/old,free,Eresian
An unknown Athenian,male,unknown,unknown,unknown
Phoenician sailors,male,adolescent/mature,free,Phoenician
Phoenician woman,female,mature,chattel-slave,n/a
Representatives of Seuthes' enemies,male,mature/old,power-holder,Thracian
Symposiast,male,unknown,unknown,unknown
Ate,female,adolescent,power-holder,n/a
Peison,male,mature/old,power-holder,Athenian
Lysias,male,mature,free,Syracusan
Conon,male,adolescent,free,Athenian
Bacchius,male,adolescent,free,Athenian
certain others,male,adolescent,unknown,unknown
Lyssa,female,mature,power-holder,n/a
Representatives of various poleis allied to Athens,male,mature/old,power-holder,various
Aristomenes,male,mature,power-holder,Messenian
All the Achaeans,male,mature,free,Achaean
Diogeiton's daughter,female,mature,free,Athenian
Sicyonians,male,mature/old,free,Sicyonian
Disputant,male,any adult age,free,Cretan
Women's leader,n/a,old,free,Athenian
Synedroi on the ships,male,mature/old,power-holder,various
Archeneos,male,mature,free,Athenian
Dracontides,male,mature,free,Athenian
Phanus,male,mature,free,Athenian
The defendant's son,male,adolescent/mature,free,Athenian
Barcaeans,male,any adult age,free,Barcaean
Oligarchs,male,mature/old,power-holder,Greek
Bryon,male,mature/old,power-holder,Chian
Apelles,male,mature/old,power-holder,Chian
Theocritus,male,mature/old,power-holder,Chian
Archelaus,male,mature/old,power-holder,Chian
Nasamones,male,any adult age,free,Nasamonian
Memnon,male,adolescent,power-holder,Persian
Mentor,male,adolescent,power-holder,Persian
Second Soldier (Chorus),n/a,adolescent/mature,free,Trojan
Leader (Chorus),n/a,adolescent/mature,free,Trojan
Third Soldier,male,adolescent/mature,free,Trojan
Driver of Rhesus' Chariot,male,adolescent/mature,free,Thracian
Unknown,male,any adult age,free,Athenian
Menedaeus,male,mature/old,power-holder,Spartan
"Alcetas, son of Alexander (Perdiccas's brother)",male,mature,power-holder,Macedonian
"Archelaus, son of Perdiccas",male,adolescent,power-holder,Macedonian
"Alexander, son of Alcetas",male,adolescent/mature,power-holder,Macedonian
"Aeropus, son of Philip",male,any adult age,power-holder,Macedonian
"Menelaus, son of Alexander",male,any adult age,power-holder,Macedonian
"Agelaus, son of Alcetas",male,any adult age,power-holder,Macedonian
"Byrginus, son of Craston",male,any adult age,power-holder,Macedonian
"Agerrus, son of Philip",male,any adult age,power-holder,Macedonian
"Alexander, son of Pantapon",male,any adult age,power-holder,Macedonian
Eurylochus,male,any adult age,power-holder,Macedonian
Eulander,male,any adult age,power-holder,Macedonian
Antigenes,male,any adult age,power-holder,Macedonian
Adimus,male,any adult age,power-holder,Macedonian
Lycaeus,male,any adult age,power-holder,Macedonian
Nomenius,male,any adult age,power-holder,Macedonian
Craston,male,any adult age,power-holder,Macedonian
Stadmeas,male,any adult age,power-holder,Macedonian
Nicander,male,any adult age,power-holder,Macedonian
Gaeteas,male,any adult age,power-holder,Macedonian
Corratas,male,any adult age,power-holder,Macedonian
Meleager,male,any adult age,power-holder,Macedonian
Dirbeas,male,any adult age,power-holder,Macedonian
Arrhabaeus,male,any adult age,power-holder,Macedonian
Limnaeus,male,any adult age,power-holder,Macedonian
Autannius,male,any adult age,power-holder,Macedonian
Antiochus,male,any adult age,power-holder,Macedonian of Orestis
Scythians,male,any adult age,free,Scythian
Voter,male,mature/old,free,n/a
Representatives of the other state,male,mature/old,power-holder,unknown
Fire,n/a,n/a,n/a,n/a
Sea,n/a,n/a,n/a,n/a
The returning exiles,male,any adult age,free,Megarian
The rest of the Megarians,male,any adult age,free,Megarian
Idaeus,male,mature,free,Trojan
Jurors (horkomotai),male,mature,free,Chalian
Perdiccas' representatives,male,mature/old,power-holder,Macedonian
Bouleutai?,male,mature/old,free,Histiaean
Hurlyburly,male,mature,chattel-slave,n/a
War,male,mature,power-holder,n/a
Knights,male,mature,free,Athenian
Amasis the Persian general,male,mature,power-holder,Persian
Politician,male,mature/old,free,Athenian
King of Bactria,male,mature,power-holder,Bactrian
Peltasts,male,adolescent/mature,free,Arcadian
All other Arcadian soldiers?,male,adolescent/mature,free,Arcadian
Campanians,male,any adult age,free,Siceliot
Echecrates,male,mature,free,Phliasian
Phaedo,male,mature,free,Elean
Diomedes,male,mature,power-holder,Argive
Those counting votes,male,mature/old,free,Greek
Those present,male,adolescent/mature,free,Athenian
Some people,male,any adult age,free,Athenian
Archidamus,male,mature,power-holder,Spartan
Lessees,male,any adult age,free,Athenian
Isodemus,male,mature/old,free,Leucadian
Olympiadas,male,mature/old,free,Leucadian
Leontiades,male,mature,power-holder,Theban
Supporters of Leontiades,male,mature,power-holder,Theban
Phrourarch,male,mature,power-holder,Athenian
A woman,female,mature,free,Sybarite
Jar,male,n/a,n/a,n/a
Heracleides,male,mature,power-holder,Maronite
Aeschines' nephew,male,adolescent/mature,free,Athenian
Aeschines' physician,male,any adult age,free,unknown
Miltiades,male,n/a,n/a,n/a
Those making offerings,male,mature/old,free,Prienian
Hieropoioi?,male,mature/old,free,Prienian
Athlothetai,male,mature/old,free,Athenian
Thracians,male,any adult age,free,Thracian
Laomedon,male,adolescent/mature,power-holder,Trojan
Aristanor,male,mature/old,power-holder,Euaemnian
Onomantus,male,mature/old,power-holder,Euaemnian
Laeas,male,mature/old,power-holder,Euaemnian
Saocles,male,mature/old,power-holder,Euaemnian
Deinias,male,mature,free,Athenian
Hyrcanian king,male,mature,power-holder,Hyrcanian
Supporters of Euboulides,male,any adult age,free,Athenian
Public officials,male,mature/old,power-holder,Chalcidian
Envoys from King Philip II,male,mature/old,power-holder,Macedonian
Dolon,male,mature,free,Trojan
Eurymedon,male,mature,power-holder,Athenian
Archon?,male,mature/old,power-holder,Thessalian
Pezarchoi,male,mature,power-holder,Thessalian
Polycrite,female,adolescent/mature,free,Naxian
Diognetus,male,mature,power-holder,Erythraean
Inspectors (aneuretai),male,mature,free,Zeleian
All other Archai,male,mature/old,power-holder,Athenian
Calypso,female,mature,power-holder,n/a
Unwedded spectators,male,adolescent/mature,free,Athenian
Menecles,male,mature,free,Athenian
Demus,male,mature,power-holder,Athenian
Empedocles,male,adolescent,free,Theran
Prexaspes,male,mature,free,Persian
The Magi,male,mature/old,power-holder,Persian
Danae,female,adolescent,free,Argive
Diomedon,male,mature/old,power-holder,Athenian
Samian rebels,male,any adult age,free,Samian
The most influential Samians,male,mature/old,free,Samian
Pissuthnes,male,mature,power-holder,Persian
Suitors' families,male,mature/old,free,Achaean
Members of the koine of Eikadeus,male,mature/old,free,Athenian?
Second woman,female,mature,free,Athenian
Glyce,female,mature,free,Athenian
Charicles,male,mature,free,Athenian
"Agetus, son of Alcidas",male,mature,free,Spartan
Corcyraean oligarchs,male,mature/old,free,Corcyraean
Teucer,male,mature,free,Salaminian
Critobulus of Lampsacus,male,mature,power-holder,Lampsacene
One of the comrades,male,mature,free,unknown
Accuser,female,adolescent/mature,chattel-slave,n/a
Chorus of citizens,n/a,adolescent/mature,free,Pherean
King of Macedon,male,mature/old,power-holder,Macedonian
King of Lyncestis,male,mature/old,power-holder,Lyncestian
King of Elimea,male,mature/old,power-holder,Elimean
Kings of other tribes,male,mature/old,power-holder,various tribes
Agasias,male,mature,power-holder,Stymphalian
Callicles' mother,female,mature/old,free,Athenian
Eutherus,male,mature,free,Athenian
Messenger,male,mature,free,Nephelokokkugian
Greek hoplites,male,any adult age,free,various
Asclepiad,male,mature,free,Coan
Stabrobates,male,mature,power-holder,Indian
Semiramis,female,mature,power-holder,Assyrian
The people of Athens,male,any adult age,free,Athenian
Cersobleptes' representatives,male,mature/old,power-holder,Thracian
A person in love,n/a,unknown,unknown,unknown
Neopoiai,male,mature/old,power-holder,Halicarnassian
Pandarus,male,mature,free,Zeleian
Aeneas,male,mature,power-holder,Trojan
Xanthos (Scamander),male,mature,power-holder,n/a
Opponents of Callistratus,male,any adult age,free,Athenian
Pythodorus (the archon),male,mature/old,power-holder,Athenian
Ariston's witnesses,male,any adult age,free,Athenian
Dion,male,mature,free,Siceliot
Plato,male,old,free,Athenian
Theocrines,male,mature,free,Athenian
The father of the young man,male,mature,free,Tenian
Students,male,mature/old,free,Greek
Prospective teachers,male,mature/old,free,Greek
Representatives of the Thracian kings,male,mature/old,power-holder,Thracian
Some of the Corinthian powerholders,male,mature/old,power-holder,Corinthian
Some Corinthians opposed to the regime,male,any adult age,free,Corinthian
Menon,male,mature,power-holder,Thessalian
Representatives of the existing allies of Athens,male,mature/old,power-holder,various
Croesus' envoys,male,mature/old,power-holder,Lydian
Poor men,male,any adult age,free,Athenian
Echo,female,old,power-holder,n/a
Pledgee,male,mature,free,Gortynian
Darius II,male,mature,power-holder,Persian
Secyndianus,male,mature,power-holder,Persian
Ino,female,mature,power-holder,Boeotian
Athamas,male,mature,power-holder,Boeotian
Notharchus,male,mature,free,Athenian
Representatives of the newly allied state,male,mature/old,power-holder,unknown
Aegisthus,male,mature,power-holder,Argive
Men with property of more than 30 staters,male,mature/old,free,Erythraean
Synedroi of allies,male,mature/old,power-holder,various
Imaginary state,n/a,any adult age,free,n/a
Nicarchus,male,mature,free,Athenian
Representatives of the allies of King Philip,male,mature/old,power-holder,various
Chorus (mixed),n/a,mixed,free,n/a
Another man,male,mature,free,Athenian
Astibaras,male,mature/old,power-holder,Median
Zarina,female,mature,power-holder,Sacian
Most of the trierarchs,male,mature/old,power-holder,Syracusan
Hipparch,male,mature,free,Athenian
Leto,female,mature,power-holder,n/a
Delos,n/a,n/a,n/a,n/a
The uncle of the young man,male,mature/old,free,Tenian
Neon,male,mature/old,power-holder,Halian
[----]os,male,mature/old,power-holder,Halian
Agac[---],male,mature/old,power-holder,Halian
Sambaulas,male,mature,free,Persian
The soldier,male,adolescent/mature,free,unknown
The husbands of the sisters of Dicaeogenes (II),male,mature,free,Athenian
Dicaeogenes (III),male,mature,free,Athenian
Representatives of the Sicilian allies of Syracuse,male,mature/old,power-holder,various
Representatives of the Sicilian allies of Athens,male,mature/old,power-holder,various
Creditors,male,any adult age,free,Athenian
Athenian officials,male,mature/old,power-holder,Athenian
Highest officials of the allies of Athens,male,mature/old,power-holder,various
Highest officials of the Mantineans,male,mature/old,power-holder,Mantinean
Highest officials of the other Greeks,male,mature/old,power-holder,various
Student,male,any adult age,free,any
Charminus,male,mature,power-holder,Spartan
Representatives of an unknown state,male,mature/old,power-holder,unknown
Apollophanes,male,mature,free,Cyzicene
Antiphilus the demarch,male,mature,power-holder,Athenian
Priestesses,female,mature,free,Coan
Men up for cavalry duty,male,adolescent/mature,free,Athenian
Prisoners of war,male,adolescent/mature,free,Babylonian
Spartans and their allies,male,any adult age,free,various
Foreign sailors,male,any adult age,free,n/a
Authorities,male,mature/old,power-holder,Egyptian
Euphiletus' mother,female,mature,free,Athenian
Ex-husband,male,any adult age,free,Gortynian
Unknown envoy,male,mature/old,free,Rhegian
"Silenus, son of Phocus",male,mature/old,free,Rhegian
Samian messengers,male,mature/old,power-holder,Samian
Ruling Milesians,male,mature/old,power-holder,Milesian
Philebus,male,mature,free,Athenian
Prienians,female,any adult age,free,Prienian
Naupactans,male,mature/old,free,Locrian
Lycians of Xanthus,male,any adult age,free,Xanthian
"Monunius, the brother of Cetriporis",male,mature,power-holder,Thracian
Plaintiff?,male,mature,free,Gortynian
Sons of age with citizen rights,male,adolescent/mature,free,Gortynian
Grandsons of age,male,adolescent,free,Gortynian
Brothers from the same father,male,any adult age,free,Gortynian
Brothers from the same mother,male,any adult age,free,Gortynian
Any free man who will testify,male,any adult age,free,Gortynian
Parysatis,female,old,power-holder,Persian
Taktai,male,mature/old,free,Athenian
Alexander of Pherae,male,mature,power-holder,Thessalian
