agent,gender,age,status,origin
Nicostratus,male,mature,power-holder,Athenian
"Autocles, son of Tolmaeus",male,mature,power-holder,Athenian
Chorus-leader,n/a,mature,free,n/a
Callicles,male,adolescent,free,Athenian
Plangon,female,mature,free,Athenian
Arbitrator,male,mature,free,Athenian
First Old Woman,female,old,free,Athenian
Epigenes,male,adolescent,free,Athenian
Tigranes' wife,female,mature,power-holder,Armenian
Tigranes,male,adolescent,power-holder,Armenian
Paphlagon,male,mature,chattel-slave,n/a
Cleinias,male,old,free,Cretan
Athenian,male,old,free,Athenian
Ephors,male,mature/old,power-holder,Spartan
The kings,male,any adult age,power-holder,Spartan
Lysis,male,child,free,Athenian
Diotima,female,mature,free,Mantinean
Callistratus,male,mature,free,Athenian
Olympiodorus,male,mature,free,Athenian
Euelpides,male,old,free,Athenian
Second Woman,female,mature,free,Athenian
Praxagora,female,mature,free,Athenian
Heracles,male,mature,chattel-slave,n/a
Witnesses,male,any adult age,free,Athenian
The Eighty,male,mature/old,power-holder,Argive
The Artynae,male,mature/old,power-holder,Argive
Odysseus,male,mature,power-holder,Ithacan
Neoptolemus,male,adolescent,power-holder,Phthian
Philoctetes,male,mature,free,Malian
Representatives of Greek states except Sparta,male,mature/old,power-holder,various
Pelias,male,mature,power-holder,Iolcian
Jason,male,adolescent,power-holder,Iolcian
Old Woman,female,old,free,Athenian
Young man,male,adolescent,free,Athenian
Ischomachus,male,mature,free,Athenian
Demos,male,old,free,Athenian
Chabrias of Aexone,male,old,power-holder,Athenian
Chares of Angele,male,mature,power-holder,Athenian
Iphicrates of Rhamnous,male,old,power-holder,Athenian
Execestides,male,mature/old,power-holder,Athenian
Alcimachus of Anagyrous,male,mature/old,power-holder,Athenian
Diocles of Alopece,male,mature/old,power-holder,Athenian
Wine,n/a,n/a,n/a,n/a
Scythian archer,male,mature,chattel-slave,n/a
Meno,male,adolescent,free,Thessalian
Adrastus,male,mature,power-holder,Argive
Theseus,male,mature,power-holder,Athenian
the companion of Megabates,male,mature,free,Persian
Cyrus the younger,male,adolescent,power-holder,Persian
Representatives of various poleis,male,any adult age,power-holder,various
